STATISTIC Label,Year,Quarter,County,UNIT,VALUE
New Dwelling Completion,2014,Q4,Ireland,Number,1702
New Dwelling Completion,2014,Q4,Cork City,Number,20
New Dwelling Completion,2014,Q4,Clare,Number,44
New Dwelling Completion,2014,Q4,Cavan,Number,32
New Dwelling Completion,2014,Q4,Cork,Number,157
New Dwelling Completion,2014,Q4,Carlow,Number,12
New Dwelling Completion,2014,Q4,Dublin City,Number,102
New Dwelling Completion,2014,Q4,Dún Laoghaire Rathdown,Number,184
New Dwelling Completion,2014,Q4,Donegal,Number,76
New Dwelling Completion,2014,Q4,Fingal,Number,178
New Dwelling Completion,2014,Q4,Galway,Number,67
New Dwelling Completion,2014,Q4,Galway City,Number,11
New Dwelling Completion,2014,Q4,Kildare,Number,102
New Dwelling Completion,2014,Q4,Kilkenny,Number,36
New Dwelling Completion,2014,Q4,Kerry,Number,52
New Dwelling Completion,2014,Q4,Longford,Number,14
New Dwelling Completion,2014,Q4,Louth,Number,44
New Dwelling Completion,2014,Q4,Limerick City &,Number,28
New Dwelling Completion,2014,Q4,Leitrim,Number,14
New Dwelling Completion,2014,Q4,Laois,Number,25
New Dwelling Completion,2014,Q4,Meath,Number,71
New Dwelling Completion,2014,Q4,Monaghan,Number,23
